SEGREF,easting,northing
IN_A,8871,376402
IN_B,10551,396361
IN_C,12235,416319
IN_D,13923,436276
IN_E,15615,456233
IN_F,28828,374724
IN_G,30508,394679
IN_H,32191,414633
IN_I,33879,434587
IN_J,35570,454540
IN_K,48781,373046
IN_L,50460,392998
IN_M,52143,412948
IN_N,53830,432898
IN_P,55521,452847
IN_Q,68731,371370
IN_R,70409,391317
IN_S,72092,411263
IN_T,73778,431209
IN_U,75468,451155
IN_V,88676,369694
IN_W,90354,389637
IN_X,92036,409580
IN_Y,93721,429522
IN_Z,95411,449463
IO_A,108618,368018
IO_B,110295,387957
IO_C,111976,407896
IO_D,113661,427834
IO_E,115350,447772
IO_F,128556,366343
IO_G,130232,386279
IO_H,131913,406214
IO_I,133597,426148
IO_J,135286,446082
IQ_A,-199294,293220
IQ_F,-179294,291554
IQ_G,-177627,311552
IQ_K,-159298,289890
IQ_L,-157632,309883
IQ_Q,-139306,288226
IQ_R,-137640,308215
IQ_S,-135971,328204
IQ_T,-134297,348193
IQ_U,-132620,368180
IQ_V,-119318,286562
IQ_W,-117653,306548
IQ_X,-115984,326533
IQ_Y,-114311,346518
IQ_Z,-112634,366501
IR_A,-99333,284900
IR_B,-97669,304882
IR_C,-96001,324863
IR_D,-94329,344843
IR_E,-92653,364823
IR_F,-79353,283238
IR_G,-77690,303216
IR_H,-76022,323193
IR_I,-74351,343170
IR_J,-72676,363145
IR_K,-59377,281577
IR_L,-57714,301551
IR_M,-56047,321524
IR_N,-54377,341497
IR_P,-52702,361469
IR_Q,-39404,279917
IR_R,-37742,299887
IR_S,-36076,319856
IR_T,-34407,339825
IR_U,-32733,359793
IR_V,-19436,278257
IR_W,-17775,298223
IR_X,-16109,318188
IR_Y,-14440,338153
IR_Z,-12767,358117
IS_A,528,276598
IS_B,2189,296560
IS_C,3854,316521
IS_D,5522,336482
IS_E,7195,356442
IS_F,20489,274940
IS_G,22149,294898
IS_H,23813,314855
IS_I,25481,334812
IS_J,27152,354768
IS_K,40445,273282
IS_L,42105,293236
IS_M,43768,313190
IS_N,45435,333143
IS_P,47106,353095
IS_Q,60398,271625
IS_R,62057,291575
IS_S,63719,311525
IS_T,65386,331474
IS_U,67056,351422
IS_V,80346,269969
IS_W,82004,289915
IS_X,83666,309860
IS_Y,85333,329805
IS_Z,87003,349750
IT_A,100291,268313
IT_B,101948,288255
IT_C,103610,308197
IT_D,105275,328138
IT_E,106945,348078
IT_F,120231,266657
IT_G,121888,286596
IT_H,123549,306533
IT_I,125214,326471
IT_J,126883,346407
IV_C,-204275,233210
IV_D,-202618,253214
IV_E,-200958,273218
IV_H,-184272,231556
IV_I,-182617,251557
IV_J,-180957,271556
IV_L,-165924,209907
IV_M,-164273,229903
IV_N,-162619,249900
IV_P,-160960,269895
IV_Q,-147574,188265
IV_R,-145928,208258
IV_S,-144279,228251
IV_T,-142625,248244
IV_U,-140967,268235
IV_V,-127582,186622
IV_W,-125937,206611
IV_X,-124288,226600
IV_Y,-122635,246588
IV_Z,-120978,266576
IW_A,-107594,184979
IW_B,-105950,204965
IW_C,-104302,224950
IW_D,-102650,244934
IW_E,-100993,264917
IW_F,-87610,183337
IW_G,-85967,203319
IW_H,-84319,223300
IW_I,-82668,243280
IW_J,-81012,263259
IW_L,-65987,201674
IW_M,-64341,221651
IW_N,-62690,241627
IW_P,-61035,261602
IW_R,-46012,200030
IW_S,-44366,220002
IW_T,-42716,239975
IW_U,-41062,259946
IW_X,-24396,218355
IW_Y,-22747,238323
IW_Z,-21093,258290
IX_C,-4430,216708
IX_D,-2781,236672
IX_E,-1128,256635
IX_I,17181,235022
IX_J,18833,254981
IX_N,37139,233372
IX_P,38790,253327
IX_U,58743,251674
IX_Z,78692,250022
