SEGREF,easting,northing
NH_P,250000,890000
NH_Q,270000,810000
NH_R,270000,830000
NH_S,270000,850000
NH_T,270000,870000
NH_U,270000,890000
NH_V,290000,810000
NH_W,290000,830000
NH_X,290000,850000
NH_Y,290000,870000
NH_Z,290000,890000
NJ_A,310000,810000
NJ_B,310000,830000
NJ_C,310000,850000
NJ_D,310000,870000
NJ_E,310000,890000
NJ_F,330000,810000
NJ_G,330000,830000
NJ_H,330000,850000
NJ_I,330000,870000
NJ_J,330000,890000
NJ_K,350000,810000
NJ_L,350000,830000
NJ_M,350000,850000
NJ_N,350000,870000
NJ_P,350000,890000
NJ_Q,370000,810000
NJ_R,370000,830000
NJ_S,370000,850000
NJ_T,370000,870000
NJ_U,370000,890000
NJ_V,390000,810000
NJ_W,390000,830000
NJ_X,390000,850000
NJ_Y,390000,870000
NJ_Z,390000,890000
NK_A,410000,810000
NK_B,410000,830000
NK_C,410000,850000
NK_D,410000,870000
NK_E,410000,890000
NL_I,30000,770000
NL_J,30000,790000
NL_N,50000,770000
NL_P,50000,790000
NL_Q,70000,710000
NL_R,70000,730000
NL_S,70000,750000
NL_T,70000,770000
NL_U,70000,790000
NL_V,90000,710000
NL_W,90000,730000
NL_X,90000,750000
NL_Y,90000,770000
NL_Z,90000,790000
NM_A,110000,710000
NM_B,110000,730000
NM_C,110000,750000
NM_D,110000,770000
NM_E,110000,790000
NM_F,130000,710000
NM_G,130000,730000
NM_H,130000,750000
NM_I,130000,770000
NM_J,130000,790000
NM_K,150000,710000
NM_L,150000,730000
NM_M,150000,750000
NM_N,150000,770000
NM_P,150000,790000
NM_Q,170000,710000
NM_R,170000,730000
NM_S,170000,750000
NM_T,170000,770000
NM_U,170000,790000
NM_V,190000,710000
NM_W,190000,730000
NM_X,190000,750000
NM_Y,190000,770000
NM_Z,190000,790000
NN_A,210000,710000
NN_B,210000,730000
NN_C,210000,750000
NN_D,210000,770000
NN_E,210000,790000
NN_F,230000,710000
NN_G,230000,730000
NN_H,230000,750000
NN_I,230000,770000
NN_J,230000,790000
NN_K,250000,710000
NN_L,250000,730000
NN_M,250000,750000
NN_N,250000,770000
NN_P,250000,790000
NN_Q,270000,710000
NN_R,270000,730000
NN_S,270000,750000
NN_T,270000,770000
NN_U,270000,790000
NN_V,290000,710000
NN_W,290000,730000
NN_X,290000,750000
NN_Y,290000,770000
NN_Z,290000,790000
NO_A,310000,710000
NO_B,310000,730000
NO_C,310000,750000
NO_D,310000,770000
NO_E,310000,790000
NO_F,330000,710000
NO_G,330000,730000
NO_H,330000,750000
NO_I,330000,770000
NO_J,330000,790000
NO_K,350000,710000
NO_L,350000,730000
NO_M,350000,750000
NO_N,350000,770000
NO_P,350000,790000
NO_Q,370000,710000
NO_R,370000,730000
NO_S,370000,750000
NO_T,370000,770000
NO_U,370000,790000
NO_V,390000,710000
NO_W,390000,730000
NO_X,390000,750000
NO_Y,390000,770000
NO_Z,390000,790000
NR_C,110000,650000
NR_D,110000,670000
NR_H,130000,650000
NR_I,130000,670000
NR_J,130000,690000
NR_K,150000,610000
NR_M,150000,650000
NR_N,150000,670000
NR_P,150000,690000
NR_Q,170000,610000
