"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE","FIVE_LETTER","EURING_NO"
51111,"Galloperdix bicalcarata","Sri Lanka Spurfowl",100,"Species",10750,"","","",
51112,"Ithaginis","",80,"Genus",10760,"","","",
51113,"Ithaginis cruentus","Blood Pheasant",100,"Species",10770,"","","",
51114,"Ithaginis cruentus cruentus","",110,"Subspecies",10780,"","","",
51115,"Ithaginis cruentus affinis","",110,"Subspecies",10790,"","","",
51116,"Ithaginis cruentus tibetanus","",110,"Subspecies",10800,"","","",
51117,"Ithaginis cruentus kuseri","",110,"Subspecies",10810,"","","",
51118,"Ithaginis cruentus marionae","",110,"Subspecies",10820,"","","",
51119,"Ithaginis cruentus rocki","",110,"Subspecies",10830,"","","",
51120,"Ithaginis cruentus clarkei","",110,"Subspecies",10840,"","","",
51121,"Ithaginis cruentus geoffroyi","",110,"Subspecies",10850,"","","",
51122,"Ithaginis cruentus berezowskii","",110,"Subspecies",10860,"","","",
51123,"Ithaginis cruentus beicki","",110,"Subspecies",10870,"","","",
51124,"Ithaginis cruentus michaelis","",110,"Subspecies",10880,"","","",
51125,"Ithaginis cruentus sinensis","",110,"Subspecies",10890,"","","",
51126,"Tragopan","",80,"Genus",10900,"","","",
51127,"Tragopan melanocephalus","Western Tragopan",100,"Species",10910,"","","",
51128,"Tragopan satyra","Satyr Tragopan",100,"Species",10920,"","","",
51129,"Tragopan blythii","Blyth's Tragopan",100,"Species",10930,"","","",
51130,"Tragopan blythii molesworthi","",110,"Subspecies",10940,"","","",
51131,"Tragopan blythii blythii","",110,"Subspecies",10950,"","","",
51132,"Tragopan temminckii","Temminck's Tragopan",100,"Species",10960,"","","",
51133,"Tragopan caboti","Cabot's Tragopan",100,"Species",10970,"","","",
51134,"Tragopan caboti caboti","",110,"Subspecies",10980,"","","",
51135,"Tragopan caboti guangxiensis","",110,"Subspecies",10990,"","","",
51136,"Pucrasia","",80,"Genus",11000,"","","",
51137,"Pucrasia macrolopha","Koklass Pheasant",100,"Species",11010,"","","",
51138,"Pucrasia macrolopha castanea","",110,"Subspecies",11020,"","","",
51139,"Pucrasia macrolopha biddulphi","",110,"Subspecies",11030,"","","",
51140,"Pucrasia macrolopha macrolopha","",110,"Subspecies",11040,"","","",
51141,"Pucrasia macrolopha nipalensis","",110,"Subspecies",11050,"","","",
51142,"Pucrasia macrolopha meyeri","",110,"Subspecies",11060,"","","",
51143,"Pucrasia macrolopha ruficollis","",110,"Subspecies",11070,"","","",
51144,"Pucrasia macrolopha xanthospila","",110,"Subspecies",11080,"","","",
51145,"Pucrasia macrolopha joretiana","",110,"Subspecies",11090,"","","",
51146,"Pucrasia macrolopha darwini","",110,"Subspecies",11100,"","","",
51147,"Lophophorus","",80,"Genus",11110,"","","",
51148,"Lophophorus impejanus","Himalayan Monal",100,"Species",11120,"","","",
51149,"Lophophorus sclateri","Sclater's Monal",100,"Species",11130,"","","",
51150,"Lophophorus sclateri arunachalensis","",110,"Subspecies",11140,"","","",
51151,"Lophophorus sclateri sclateri","",110,"Subspecies",11150,"","","",
51152,"Lophophorus sclateri orientalis","",110,"Subspecies",11160,"","","",
51153,"Lophophorus lhuysii","Chinese Monal",100,"Species",11170,"","","",
51154,"Gallus","",80,"Genus",11180,"","","",
51155,"Gallus gallus","Red Junglefowl",100,"Species",11190,"","","",
51156,"Gallus gallus murghi","",110,"Subspecies",11200,"","","",
51157,"Gallus gallus spadiceus","",110,"Subspecies",11210,"","","",
51158,"Gallus gallus jabouillei","",110,"Subspecies",11220,"","","",
51159,"Gallus gallus gallus","",110,"Subspecies",11230,"","","",
51160,"Gallus gallus bankiva","",110,"Subspecies",11240,"","","",
1700,"Gallus gallus f. domestica","Feral Junglefowl / Chicken",115,"Variety",11250,"","FJ","",
51161,"Gallus sonneratii","Grey Junglefowl",100,"Species",11260,"","","",
51162,"Gallus lafayettii","Sri Lanka Junglefowl",100,"Species",11270,"","","",
51163,"Gallus varius","Green Junglefowl",100,"Species",11280,"","","",
51164,"Lophura","",80,"Genus",11290,"","","",
1682,"Lophura leucomelanos","Kalij Pheasant",100,"Species",11300,"","","",3870
51165,"Lophura leucomelanos hamiltonii","",110,"Subspecies",11310,"","","",
51166,"Lophura leucomelanos leucomelanos","",110,"Subspecies",11320,"","","",
51167,"Lophura leucomelanos melanota","",110,"Subspecies",11330,"","","",
51168,"Lophura leucomelanos moffitti","",110,"Subspecies",11340,"","","",
51169,"Lophura leucomelanos lathami","",110,"Subspecies",11350,"","","",
51170,"Lophura leucomelanos williamsi","",110,"Subspecies",11360,"","","",
51171,"Lophura leucomelanos oatesi","",110,"Subspecies",11370,"","","",
51172,"Lophura leucomelanos lineata","",110,"Subspecies",11380,"","","",
51173,"Lophura leucomelanos crawfurdii","",110,"Subspecies",11390,"","","",
1291,"Lophura nycthemera","Silver Pheasant",100,"Species",11400,"","PV","",98044
51174,"Lophura nycthemera omeiensis","",110,"Subspecies",11410,"","","",
51175,"Lophura nycthemera rongjiangensis","",110,"Subspecies",11420,"","","",
51176,"Lophura nycthemera nycthemera","",110,"Subspecies",11430,"","","",
51177,"Lophura nycthemera fokiensis","",110,"Subspecies",11440,"","","",
51178,"Lophura nycthemera whiteheadi","",110,"Subspecies",11450,"","","",
51179,"Lophura nycthemera occidentalis","",110,"Subspecies",11460,"","","",
51180,"Lophura nycthemera rufipes","",110,"Subspecies",11470,"","","",
51181,"Lophura nycthemera jonesi","",110,"Subspecies",11480,"","","",
51182,"Lophura nycthemera ripponi","",110,"Subspecies",11490,"","","",
51183,"Lophura nycthemera beaulieui","",110,"Subspecies",11500,"","","",
51184,"Lophura nycthemera berliozi","",110,"Subspecies",11510,"","","",
51185,"Lophura nycthemera beli","",110,"Subspecies",11520,"","","",
51186,"Lophura nycthemera annamensis","",110,"Subspecies",11530,"","","",
51187,"Lophura nycthemera lewisi","",110,"Subspecies",11540,"","","",
51188,"Lophura nycthemera engelbachi","",110,"Subspecies",11550,"","","",
51189,"Lophura edwardsi","Edwards's Pheasant",100,"Species",11560,"","","",
1290,"Lophura swinhoii","Swinhoe's Pheasant",100,"Species",11570,"","IH","",98046
51191,"Lophura inornata","Salvadori's Pheasant",100,"Species",11580,"","","",
100408,"Lophura inornata inornata","",110,"Subspecies",11590,"","","",
51190,"Lophura inornata hoogerwerfi","{none}",110,"Subspecies",11600,"","","",
51192,"Lophura erythrophthalma","Crestless Fireback",100,"Species",11610,"","","",
51193,"Lophura erythrophthalma erythrophthalma","",110,"Subspecies",11620,"","","",
51194,"Lophura erythrophthalma pyronota","",110,"Subspecies",11630,"","","",
51195,"Lophura ignita","Crested Fireback",100,"Species",11640,"","","",
51196,"Lophura ignita rufa","",110,"Subspecies",11650,"","","",
51197,"Lophura ignita macartneyi","",110,"Subspecies",11660,"","","",
51198,"Lophura ignita nobilis","",110,"Subspecies",11670,"","","",
51199,"Lophura ignita ignita","",110,"Subspecies",11680,"","","",
51200,"Lophura diardi","Siamese Fireback",100,"Species",11690,"","","",
51201,"Lophura bulweri","Bulwer's Pheasant",100,"Species",11700,"","","",
51202,"Crossoptilon","",80,"Genus",11710,"","","",
51203,"Crossoptilon crossoptilon","White Eared Pheasant",100,"Species",11720,"","","",
51204,"Crossoptilon crossoptilon dolani","",110,"Subspecies",11730,"","","",
51205,"Crossoptilon crossoptilon crossoptilon","",110,"Subspecies",11740,"","","",
51206,"Crossoptilon crossoptilon lichiangense","",110,"Subspecies",11750,"","","",
51207,"Crossoptilon crossoptilon drouynii","",110,"Subspecies",11760,"","","",
51208,"Crossoptilon harmani","Tibetan Eared Pheasant",100,"Species",11770,"","","",
51209,"Crossoptilon mantchuricum","Brown Eared Pheasant",100,"Species",11780,"","","",
51210,"Crossoptilon auritum","Blue Eared Pheasant",100,"Species",11790,"","","",
51211,"Catreus","",80,"Genus",11800,"","","",
51212,"Catreus wallichii","Cheer Pheasant",100,"Species",11810,"","","",
51213,"Syrmaticus","",80,"Genus",11820,"","","",
51214,"Syrmaticus ellioti","Elliot's Pheasant",100,"Species",11830,"","","",
51215,"Syrmaticus humiae","Mrs. Hume's Pheasant",100,"Species",11840,"","","",
51216,"Syrmaticus humiae humiae","",110,"Subspecies",11850,"","","",
