MASTER_TAXON_ID,ALTERNATIVE_SCI_NAME,CURRENT_SCI_NAME,SORT_ORDER_IOC
52158,Ardea picata,Egretta picata,23660
25,Morus bassana,Morus bassanus,24340
25,Sula bassana,Morus bassanus,24340
52219,Sula capensis,Morus capensis,24350
52244,Phalacrocorax melanoleucos,Microcarbo melanoleucos,24610
52248,Phalacrocorax africanus,Microcarbo africanus,24650
52251,Phalacrocorax coronatus,Microcarbo coronatus,24680
52252,Phalacrocorax niger,Microcarbo niger,24690
52253,Phalacrocorax pygmeus,Microcarbo pygmeus,24700
52256,Nannopterum harrisi,Phalacrocorax harrisi,24730
52295,Phalacrocorax bougainvillii,Leucocarbo bougainvillii,25170
52296,Phalacrocorax atriceps,Leucocarbo atriceps,25180
52304,Phalacrocorax carunculatus,Leucocarbo carunculatus,25270
52305,Phalacrocorax chalconotus,Leucocarbo chalconotus,25280
52306,Phalacrocorax onslowi,Leucocarbo onslowi,25300
52307,Phalacrocorax campbelli,Leucocarbo campbelli,25310
52308,Phalacrocorax colensoi,Leucocarbo colensoi,25320
52309,Phalacrocorax ranfurlyi,Leucocarbo ranfurlyi,25330
52396,Pernis ptilorhyncus,Pernis ptilorhynchus,26270
52456,Gyps rueppellii,Gyps rueppelli,26860
52469,Torgos tracheliotus,Torgos tracheliotos,27010
52511,Dryotriorchis spectabilis,Circaetus spectabilis,27430
52556,Harpyhaliaetus coronatus,Stephanoaetus coronatus,27890
52566,Ictinaetus malayensis,Ictinaetus malaiensis,27990
52570,Aquila pomarina,Clanga pomarina,28030
52571,Aquila hastata,Clanga hastata,28040
112,Aquila clanga,Clanga clanga,28050
52573,Aquila wahlbergi,Hieraaetus wahlbergi,28080
1589,Aquila pennata,Hieraaetus pennatus,28090
52599,Aquila africanus,Aquila africana,28350
52599,Spizaetus africanus,Aquila africana,28350
52600,Aquila fasciatus,Aquila fasciata,28360
52603,Hieraaetus spilogaster,Aquila spilogaster,28390
52614,Melierax gabar,Micronisus gabar,28510
52862,Ichthyophaga humilis,Haliaeetus humilis,31110
52865,Ichthyophaga ichthyaetus,Haliaeetus ichthyaetus,31140
52895,Leucopternis plumbeus,Cryptoleucopteryx plumbea,31440
52897,Leucopternis schistaceus,Buteogallus schistaceus,31460
52907,Leucopternis lacernulatus,Buteogallus lacernulatus,31560
52911,Harpyhaliaetus solitarius,Buteogallus solitarius,31600
52914,Harpyhaliaetus coronatus,Buteogallus coronatus,31630
52916,Leucopternis princeps,Morphnarchus princeps,31650
52918,Buteo magnirostris,Rupornis magnirostris,31670
