"MASTER_TAXON_ID","ALTERNATIVE_SCI_NAME","ALTERNATIVE_RANK_ID","ALTERNATIVE_RANK_NAME","CURRENT_SCI_NAME","CURRENT_RANK_ID","CURRENT_RANK_NAME","SORT_ORDER_IOC","NUMBER_OF_LISTS"
80163,"Serinus reichenowi",100,"Species","Crithagra reichenowi",100,"Species",304840,1
80164,"Serinus rothschildi",100,"Species","Crithagra rothschildi",100,"Species",304850,1
80165,"Serinus flavigula",100,"Species","Crithagra flavigula",100,"Species",304860,1
80166,"Serinus xantholaemus",100,"Species","Crithagra xantholaema",100,"Species",304870,1
80167,"Serinus citrinipectus",100,"Species","Crithagra citrinipectus",100,"Species",304880,1
80168,"Serinus mozambicus",100,"Species","Crithagra mozambica",100,"Species",304890,3
80179,"Serinus dorsostriatus",100,"Species","Crithagra dorsostriata",100,"Species",305000,2
80182,"Serinus ankoberensis",100,"Species","Crithagra ankoberensis",100,"Species",305040,1
80183,"Serinus menachensis",100,"Species","Crithagra menachensis",100,"Species",305050,1
80184,"Serinus totta",100,"Species","Crithagra totta",100,"Species",305060,1
80185,"Serinus symonsi",100,"Species","Crithagra symonsi",100,"Species",305070,1
80186,"Serinus donaldsoni",100,"Species","Crithagra donaldsoni",100,"Species",305080,1
80187,"Serinus buchanani",100,"Species","Crithagra buchanani",100,"Species",305090,1
80188,"Serinus flaviventris",100,"Species","Crithagra flaviventris",100,"Species",305100,1
80193,"Serinus sulphuratus",100,"Species","Crithagra sulphurata",100,"Species",305150,1
80197,"Serinus reichardi",100,"Species","Crithagra reichardi",100,"Species",305190,1
80198,"Crithagra reichardi striatipecta",110,"Subspecies","Crithagra reichardi striatipectus",110,"Subspecies",305200,1
80200,"Serinus gularis",100,"Species","Crithagra gularis",100,"Species",305220,1
80208,"Serinus canicapillus",100,"Species","Crithagra canicapilla",100,"Species",305280,1
80202,"Crithagra gularis elgonensis",110,"Subspecies","Crithagra canicapilla elgonensis",110,"Subspecies",305300,1
80207,"Crithagra gularis montanorum",110,"Subspecies","Crithagra canicapilla montanorum",110,"Subspecies",305310,1
80209,"Serinus mennelli",100,"Species","Crithagra mennelli",100,"Species",305320,1
80210,"Serinus tristriatus",100,"Species","Crithagra tristriata",100,"Species",305330,1
80211,"Serinus albogularis",100,"Species","Crithagra albogularis",100,"Species",305340,1
80217,"Serinus burtoni",100,"Species","Crithagra burtoni",100,"Species",305390,3
80225,"Serinus whytii",100,"Species","Crithagra whytii",100,"Species",305470,1
80226,"Serinus melanochrous",100,"Species","Crithagra melanochroa",100,"Species",305480,1
80227,"Serinus leucopterus",100,"Species","Crithagra leucoptera",100,"Species",305490,1
474,"Carduelis flavirostris",100,"Species","Linaria flavirostris",100,"Species",305510,4
473,"Carduelis cannabina",100,"Species","Linaria cannabina",100,"Species",305610,6
80245,"Linaria cannabina nana",110,"Subspecies","Linaria cannabina guentheri",110,"Subspecies",305660,1
80248,"Carduelis yemenensis",100,"Species","Linaria yemenensis",100,"Species",305690,1
80249,"Carduelis johannis",100,"Species","Linaria johannis",100,"Species",305700,1
1078,"Carduelis flammea",100,"Species","Acanthis flammea",100,"Species",305720,1
1076,"Carduelis flammea",100,"Species","Acanthis flammea flammea",110,"Subspecies",305730,1
1076,"Carduelis flammea flammea",100,"Species","Acanthis flammea flammea",110,"Subspecies",305730,1
1077,"Carduelis flammea rostrata",100,"Species","Acanthis flammea rostrata",110,"Subspecies",305740,1
