tenkm,area
IN84,100.14
IN85,100.14
IN86,100.14
IN87,100.14
IN88,100.14
IN89,100.14
IN90,100.13
IN91,100.13
IN92,100.13
IN93,100.13
IN94,100.12
IN95,100.12
IN96,100.12
IN97,100.12
IN98,100.12
IN99,100.12
IO00,100.11
IO01,100.11
IO02,100.11
IO03,100.11
IO04,100.1
IO05,100.1
IO06,100.1
IO07,100.1
IO08,100.1
IO09,83.3
IO10,100.09
IO11,100.09
IO12,100.09
IO13,97.1
IO14,99.88
IO15,100.08
IO16,90.97
IO17,59.57
IO18,55.37
IO19,14.94
IO20,100.07
IO21,87.28
IO22,58.16
IO23,27.97
IO24,41.53
IO25,61.9
IO26,11.27
IO30,14.28
IO31,0.93
IO33,0.16
IO34,0.27
IO35,2.19
IO36,0.01
IQ20,1.03
IQ30,63.54
IQ31,3.33
IQ40,98.3
IQ41,44.55
IQ50,100.55
IQ51,38.88
IQ52,0.06
IQ60,92.47
IQ61,29.76
IQ62,1.73
IQ63,5.21
IQ64,0.92
IQ70,84.05
IQ71,50.51
IQ72,58.04
IQ73,32.12
IQ74,22.05
IQ75,14.61
IQ80,100.16
IQ81,99.37
IQ82,100.56
IQ83,80.54
IQ84,42.08
IQ85,81.32
IQ86,5.57
IQ90,100.54
IQ91,100.54
IQ92,100.54
IQ93,100.12
IQ94,100.54
IQ95,100.53
IQ96,72.74
IQ97,1.64
IR00,100.52
IR01,100.52
IR02,100.52
IR03,100.52
IR04,100.52
IR05,100.51
IR06,100.51
IR07,85.47
IR08,46.07
IR09,49.13
IR10,100.5
IR11,100.5
IR12,100.5
IR13,100.5
IR14,100.5
IR15,100.49
IR16,100.49
IR17,100.49
IR18,100.49
IR19,100.49
IR20,100.48
IR21,100.48
IR22,100.48
IR23,100.48
IR24,100.48
IR25,100.47
IR26,100.47
IR27,100.47
IR28,100.47
IR29,100.47
IR30,100.46
IR31,100.46
IR32,100.46
IR33,100.46
IR34,100.46
IR35,100.45
IR36,100.45
IR37,100.45
IR38,100.45
IR39,100.45
IR40,100.44
IR41,100.44
IR42,100.44
IR43,100.44
IR44,100.44
IR45,100.43
IR46,100.43
IR47,100.43
IR48,100.43
IR49,100.43
IR50,100.42
IR51,100.42
IR52,100.42
IR53,100.42
IR54,100.42
IR55,100.41
IR56,100.41
IR57,100.41
IR58,100.41
IR59,100.41
IR60,100.4
IR61,100.4
IR62,100.4
IR63,100.4
IR64,100.4
IR65,100.39
IR66,100.39
IR67,100.39
IR68,100.39
IR69,100.39
IR70,100.38
IR71,100.38
IR72,100.38
IR73,100.38
IR74,100.38
IR75,100.37
IR76,100.37
IR77,100.37
IR78,100.37
IR79,100.37
IR80,100.36
IR81,100.36
IR82,100.36
IR83,100.36
IR84,100.36
IR85,100.35
IR86,100.35
IR87,100.35
IR88,100.35
IR89,100.35
IR90,100.34
IR91,100.34
IR92,100.34
IR93,100.34
IR94,100.34
IR95,100.33
IR96,100.33
IR97,100.33
IR98,100.33
IR99,100.33
IS00,100.32
IS01,100.32
IS02,100.32
IS03,100.32
IS04,100.32
IS05,100.31
IS06,100.31
IS07,100.31
IS08,100.31
IS09,100.31
IS10,100.3
IS11,100.3
IS12,100.3
IS13,100.3
IS14,100.3
IS15,100.29
IS16,100.29
IS17,100.29
IS18,100.29
IS19,100.29
IS20,100.28
IS21,100.28
IS22,100.28
IS23,100.28
IS24,100.28
IS25,100.27
IS26,100.27
IS27,100.27
IS28,100.27
IS29,100.27
IS30,100.26
IS31,100.26
IS32,100.26
IS33,100.26
IS34,100.26
IS35,100.26
IS36,100.25
IS37,100.25
IS38,100.25
IS39,100.25
IS40,100.24
IS41,99.2
IS42,99.94
IS43,100.24
IS44,100.24
IS45,100.24
IS46,100.23
IS47,100.23
IS48,100.23
IS49,100.23
IS50,97.07
IS51,98.33
IS52,100.22
IS53,100.22
IS54,100.22
IS55,100.22
IS56,100.21
IS57,100.21
IS58,100.21
IS59,100.21
IS60,93.03
IS61,90.03
IS62,99.33
IS63,100.2
IS64,100.2
IS65,100.2
IS66,100.19
IS67,100.19
IS68,100.19
IS69,100.19
IS70,49.13
IS71,98.9
IS72,99.39
IS73,99.86
IS74,100.18
IS75,100.18
IS76,100.17
IS77,100.17
IS78,100.17
IS79,100.17
IS80,21.54
IS81,96.81
IS82,100.16
IS83,100.16
IS84,100.16
IS85,100.16
IS86,100.15
IS87,100.15
IS88,100.15
IS89,100.15
IS90,46.48
IS91,100.14
IS92,100.14
IS93,100.14
IS94,100.14
IS95,100.14
IS96,100.13
IS97,100.13
IS98,100.13
IS99,100.13
IT00,45.01
IT01,91.63
IT02,78.31
IT03,100.12
IT04,100.12
IT05,100.12
IT06,100.11
IT07,100.11
IT08,100.11
IT09,100.11
IT10,19.79
IT11,13.37
IT12,11.49
IT13,54.87
IT14,98.45
IT15,100.09
IT16,100.09
IT17,100.09
IT18,100.09
IT19,100.09
IT24,12.56
IT25,6.82
IT26,41.48
IT27,66.56
IT28,100.07
IT29,100.07
IT37,0.06
IT38,17.88
IT39,21.38
IV19,0.05
IV26,0.3
IV28,0.05
IV29,6.38
IV36,16.57
IV37,35.46
IV39,19.01
IV43,1.51
IV44,4.33
IV45,2.75
IV46,43.12
IV47,82.77
IV48,32.03
IV49,14.01
IV53,1.45
IV54,41.54
IV55,15.89
IV56,100.28
IV57,100.63
IV58,82.89
IV59,12.8
IV63,0.01
IV64,75.87
IV65,43.24
IV66,81.48
IV67,100.61
IV68,99.15
IV69,27.28
IV72,32.24
IV73,23.3
IV74,45.38
IV75,88.25
IV76,63.87
IV77,100.59
IV78,100.59
IV79,87.06
IV82,17.22
IV83,62.03
IV84,35.84
IV85,100.31
IV86,81.75
IV87,100.51
IV88,100.57
IV89,100.57
IV91,0.13
IV92,12.3
IV93,91.62
IV94,68.42
IV95,71.29
IV96,100.08
IV97,99.19
IV98,100.55
IV99,100.55
IW02,34.06
IW03,88.22
IW04,100.48
IW05,100.34
IW06,100.53
IW07,100.53
IW08,100.53
IW09,100.53
IW12,19.2
IW13,98.76
IW14,100.52
IW15,100.51
IW16,100.51
IW17,100.51
IW18,100.51
IW19,100.51
IW23,65.71
IW24,100.5
IW25,100.49
IW26,100.49
IW27,100.49
IW28,100.49
IW29,100.49
IW33,58.26
IW34,99.83
IW35,100.47
IW36,100.47
IW37,100.47
IW38,100.47
IW39,100.47
IW43,24.97
IW44,100.19
IW45,100.45
IW46,100.45
IW47,100.45
IW48,100.45
IW49,100.45
IW53,7.35
IW54,72.16
IW55,98.13
IW56,100.43
IW57,100.05
IW58,100.43
IW59,100.43
IW63,0.61
IW64,35.06
IW65,99.1
IW66,100.41
IW67,99.54
IW68,100.41
IW69,100.41
IW74,0.97
IW75,78.22
IW76,85.75
IW77,90.04
IW78,100.39
IW79,100.39
IW85,1.45
IW86,70.97
IW87,94.64
IW88,100.37
IW89,100.37
IW96,75.41
IW97,100.35
IW98,100.35
IW99,100.34
IX06,11.71
IX07,87.75
IX08,100.33
IX09,100.32
IX16,0.03
IX17,31.46
IX18,100.31
IX19,100.3
IX27,0.27
IX28,81.35
IX29,84.71
IX38,1.69
IX39,46.71
IX49,16.2
IX59,11.71
IX69,10.25
IX79,3.05
IX99,1.25
NA00,2.8
NA10,1.3
NA64,0.15
NA74,0.41
NA81,0.28
NA90,1.48
NA91,14.91
NA92,12.33
NA93,0.12
NB00,48.41
NB01,84.49
NB02,98.96
NB03,61.92
NB10,90.64
NB11,98.88
NB12,98.07
NB13,61.26
NB14,12.95
NB20,75.21
NB21,94.06
NB22,99.62
NB23,95.05
NB24,77.75
NB25,0.01
NB30,47.77
NB31,91.7
NB32,88.95
NB33,100
NB34,99.63
NB35,28.53
NB40,0.25
NB41,19.54
NB42,19.41
NB43,66.96
NB44,99.02
NB45,93.84
NB46,9.86
NB52,1.66
NB53,30.13
NB54,29.55
NB55,54.04
NB56,26.12
NB90,7.76
NB91,22.92
NC00,53.25
NC01,63.65
NC02,48.15
NC03,31.71
NC10,98.88
NC11,100
NC12,100
NC13,57.3
NC14,51.57
NC15,9.92
NC16,6.4
NC20,100
NC21,100
NC22,99.55
NC23,90.14
NC24,96.83
NC25,93.49
NC26,83.41
NC27,19.57
NC30,100
NC31,100
NC32,100
NC33,100
NC34,100
NC35,99.69
NC36,94.1
NC37,17.43
NC40,100
NC41,100
NC42,100
NC43,100
NC44,100
NC45,89.08
NC46,52.41
NC50,100
NC51,100
NC52,100
NC53,100
NC54,100
NC55,97.13
NC56,67.81
NC60,100
NC61,100
NC62,100
NC63,100
NC64,100
NC65,99.99
NC66,30.79
NC70,100
NC71,100
NC72,100
NC73,100
NC74,100
NC75,100
NC76,48.76
NC80,92.64
NC81,100
NC82,100
NC83,100
NC84,100
NC85,100
NC86,68.16
NC90,17.13
NC91,96.09
NC92,100
NC93,100
NC94,100
NC95,100
NC96,63.99
ND01,34.79
ND02,99.81
ND03,100
ND04,100
ND05,100
ND06,99.09
ND07,8.75
ND12,37.09
ND13,96.12
ND14,100
ND15,100
ND16,95.03
ND17,8.04
ND19,2.75
ND23,53.28
ND24,100
ND25,100
ND26,98.36
ND27,45.66
ND28,6.58
ND29,79.81
ND33,2.42
ND34,54.57
ND35,63.09
ND36,76.18
ND37,41.47
ND38,6.96
ND39,28.34
ND47,1.16
ND48,24.24
ND49,41.15
ND59,1.6
NF09,3.25
NF19,1.34
NF56,0.34
NF58,0.07
NF60,29.94
NF61,0.11
NF66,5.98
NF67,1.51
NF68,0.16
NF70,26.76
NF71,42.13
NF72,74.11
NF73,61.49
NF74,45.7
NF75,30.28
NF76,56.07
NF77,57.66
NF80,0.1
NF81,19.52
NF82,24.57
NF83,52.79
NF84,53.73
NF85,77.79
NF86,96.02
NF87,75.17
NF88,11.23
NF89,0.58
NF95,6.32
NF96,32.21
NF97,41.75
NF98,20.24
NF99,14.66
NG07,1.02
NG08,52.33
NG09,74.35
NG13,1.12
NG14,49.22
NG15,25.29
NG18,3.21
NG19,70.25
NG20,14.59
NG23,16.3
NG24,87.09
NG25,61.73
NG26,25.04
NG29,16.13
NG30,31.74
NG31,3.95
NG32,60.06
NG33,78.04
NG34,98
NG35,63.96
NG36,26.31
NG37,6.71
NG38,0.46
NG39,0.05
NG40,4.95
NG41,36.58
NG42,99.74
NG43,99.82
NG44,97.79
NG45,98.09
NG46,96.31
NG47,36.15
NG49,2.01
NG50,33.94
NG51,43.96
NG52,92.83
NG53,62.62
NG54,45.13
NG55,23.92
NG56,12.35
NG60,47.15
NG61,89.84
NG62,63.63
NG63,12.4
NG64,9.32
NG65,22.23
NG66,2.35
NG70,74
NG71,47.91
NG72,67.89
NG73,47.52
NG74,96.52
NG75,83.22
NG76,48.51
NG77,41.58
NG78,62.48
NG79,14.92
NG80,86.05
NG81,92.8
NG82,79.62
NG83,75.8
NG84,99.8
NG85,78.57
NG86,100
NG87,97.82
NG88,69.72
NG89,47.92
NG90,97.65
NG91,99.05
NG92,93.13
NG93,95.5
NG94,99.09
NG95,100
NG96,100
NG97,100
NG98,99.99
NG99,34.03
NH00,100
NH01,100
NH02,100
NH03,100
NH04,100
NH05,100
NH06,100
NH07,100
NH08,97.75
NH09,53.25
NH10,100
NH11,100
NH12,100
NH13,100
NH14,100
NH15,100
NH16,100
NH17,100
NH18,95.85
NH19,87.49
NH20,100
NH21,100
NH22,100
NH23,100
NH24,100
NH25,100
NH26,100
NH27,100
NH28,100
NH29,100
NH30,100
NH31,100
NH32,100
NH33,100
NH34,100
NH35,100
NH36,100
NH37,100
NH38,100
NH39,100
NH40,100
NH41,100
NH42,100
NH43,100
NH44,100
NH45,100
NH46,100
NH47,100
NH48,100
NH49,100
NH50,100
NH51,100
NH52,100
NH53,100
NH54,96.02
NH55,98.14
NH56,95.96
NH57,100
NH58,100
NH59,98.32
NH60,100
NH61,100
NH62,100
NH63,100
NH64,81.24
NH65,95.55
NH66,81.6
NH67,100
NH68,92.96
NH69,98.83
NH70,100
NH71,100
NH72,100
NH73,100
NH74,97.07
NH75,51.52
NH76,57.02
NH77,93.14
NH78,83.41
NH79,97.88
NH80,100
NH81,100
NH82,100
NH83,100
NH84,100
NH85,74.47
NH86,5.26
NH87,66.36
NH88,55.78
NH89,19.18
NH90,100
NH91,100
NH92,100
NH93,100
NH94,100
NH95,98.77
NH96,23.16
NH97,0.15
NH98,16.08
NJ00,100
NJ01,100
NJ02,100
NJ03,100
NJ04,100
NJ05,100
NJ06,49.63
NJ10,100
NJ11,100
NJ12,100
NJ13,100
NJ14,100
NJ15,100
NJ16,94.57
NJ17,4.04
NJ20,100
NJ21,100
NJ22,100
NJ23,100
NJ24,100
NJ25,100
NJ26,92.3
NJ27,5.51
NJ30,100
NJ31,100
NJ32,100
NJ33,100
NJ34,100
NJ35,100
NJ36,54.68
NJ40,100
NJ41,100
NJ42,100
NJ43,100
NJ44,100
NJ45,100
NJ46,71.82
NJ50,100
NJ51,100
NJ52,100
NJ53,100
NJ54,100
NJ55,100
NJ56,71
NJ60,100
NJ61,100
NJ62,100
NJ63,100
NJ64,100
NJ65,100
NJ66,55.58
NJ70,100
NJ71,100
NJ72,100
NJ73,100
NJ74,100
NJ75,100
NJ76,47.61
NJ80,100
NJ81,100
NJ82,100
NJ83,100
NJ84,100
NJ85,100
NJ86,58.64
NJ90,60.14
NJ91,71.45
NJ92,98.55
NJ93,99.9
NJ94,100
NJ95,100
NJ96,73.25
NK02,18.39
NK03,86.51
NK04,100
NK05,98.39
NK06,33.83
NK13,4.71
NK14,28.08
NK15,8.94
NL57,0.82
NL58,9.42
NL68,2
NL69,34.72
NL79,0.79
NL93,3.96
NL94,48.42
NM04,35.13
NM05,0.91
NM15,37.14
NM16,0.42
NM19,0.44
NM21,1.77
NM22,11.54
NM23,0.45
NM24,1.48
NM25,22.19
NM26,22.53
NM29,0.47
NM31,23.16
NM32,45.95
NM33,5.07
NM34,36.81
NM35,20.33
NM37,0.79
NM38,0.56
NM39,59.93
NM40,1.31
NM41,12.83
NM42,74.58
NM43,52.9
NM44,88.04
NM45,75.67
NM46,53.73
NM47,8.83
NM48,31.31
NM49,14.99
NM51,1.59
NM52,78.66
NM53,91.57
NM54,76.55
NM55,57.32
NM56,81.79
NM57,13.82
NM59,1.18
NM60,10.71
NM61,3.08
NM62,76.94
NM63,97.7
NM64,68.88
NM65,91.72
NM66,88.74
NM67,50.93
NM68,46.28
NM69,27.22
NM70,36.57
NM71,42.08
NM72,17.61
NM73,35.4
NM74,81.59
NM75,99.48
NM76,89.21
NM77,96.78
NM78,92.84
NM79,72.75
NM80,95.57
NM81,94.07
NM82,87.42
NM83,33.71
NM84,34.97
NM85,83.57
NM86,98.13
NM87,100
NM88,100
NM89,95.53
NM90,100
NM91,100
NM92,100
NM93,88.82
NM94,81.17
NM95,44.54
NM96,92.76
NM97,97.56
NM98,100
NM99,100
NN00,83.28
NN01,100
NN02,100
NN03,86.3
NN04,97.98
NN05,91.23
NN06,76.68
NN07,84.96
NN08,100
NN09,100
NN10,88.5
NN11,97.34
NN12,100
NN13,100
NN14,98.28
NN15,99.99
NN16,97.08
NN17,99.5
NN18,100
NN19,100
NN20,95.94
NN21,100
NN22,100
NN23,100
NN24,100
NN25,100
NN26,100
NN27,100
NN28,100
NN29,100
NN30,100
NN31,100
NN32,100
NN33,100
NN34,100
NN35,100
NN36,100
NN37,100
NN38,100
NN39,100
NN40,100
NN41,100
NN42,100
NN43,100
NN44,100
NN45,100
NN46,100
NN47,100
NN48,100
NN49,100
NN50,100
NN51,100
NN52,100
NN53,100
NN54,100
NN55,100
NN56,100
NN57,100
NN58,100
NN59,100
NN60,100
NN61,100
NN62,100
NN63,100
NN64,100
NN65,100
NN66,100
NN67,100
NN68,100
NN69,100
NN70,100
NN71,100
NN72,100
NN73,100
NN74,100
NN75,100
NN76,100
NN77,100
NN78,100
NN79,100
NN80,100
NN81,100
NN82,100
NN83,100
NN84,100
NN85,100
NN86,100
NN87,100
NN88,100
NN89,100
NN90,100
NN91,100
NN92,100
NN93,100
NN94,100
NN95,100
NN96,100
NN97,100
NN98,100
NN99,100
NO00,100
NO01,100
NO02,100
NO03,100
NO04,100
NO05,100
NO06,100
NO07,100
NO08,100
NO09,100
NO10,100
NO11,99.03
NO12,98.85
NO13,100
NO14,100
NO15,100
NO16,100
NO17,100
NO18,100
NO19,100
NO20,100
NO21,94.24
NO22,94.68
NO23,100
NO24,100
NO25,100
NO26,100
NO27,100
NO28,100
NO29,100
NO30,98.39
NO31,100
NO32,74.38
NO33,100
NO34,100
NO35,100
NO36,100
NO37,100
NO38,100
NO39,100
NO40,89.03
NO41,99.55
NO42,87.02
NO43,92.8
NO44,100
NO45,100
NO46,100
NO47,100
NO48,100
NO49,100
NO50,74.74
NO51,56.86
NO52,8.48
NO53,74.08
NO54,100
NO55,100
NO56,100
NO57,100
NO58,100
NO59,100
NO60,9.69
NO61,5.1
NO63,5.88
NO64,83.22
NO65,98.14
NO66,100
NO67,100
NO68,100
NO69,100
NO74,0.84
NO75,18.78
NO76,69.43
NO77,100
NO78,100
NO79,100
NO86,4.4
NO87,56.07
NO88,84.25
NO89,99.96
NO99,26.15
NR15,23.18
NR16,2.08
