tetrad_id,country,easting,northing
NZ12J,B,413000,529000
NZ13F,B,413000,531000
NZ13G,B,413000,533000
NZ13H,B,413000,535000
NZ13I,B,413000,537000
NZ13J,B,413000,539000
NZ14F,B,413000,541000
NZ14G,B,413000,543000
NZ14H,B,413000,545000
NZ14I,B,413000,547000
NZ14J,B,413000,549000
NZ15F,B,413000,551000
NZ15G,B,413000,553000
NZ15H,B,413000,555000
NZ15I,B,413000,557000
NZ15J,B,413000,559000
NZ16F,B,413000,561000
NZ16G,B,413000,563000
NZ16H,B,413000,565000
NZ16I,B,413000,567000
NZ16J,B,413000,569000
NZ17F,B,413000,571000
NZ17G,B,413000,573000
NZ17H,B,413000,575000
NZ17I,B,413000,577000
NZ17J,B,413000,579000
NZ18F,B,413000,581000
NZ18G,B,413000,583000
NZ18H,B,413000,585000
NZ18I,B,413000,587000
NZ18J,B,413000,589000
NZ19F,B,413000,591000
NZ19G,B,413000,593000
NZ19H,B,413000,595000
NZ19I,B,413000,597000
NZ19J,B,413000,599000
NZ10K,B,415000,501000
NZ10L,B,415000,503000
NZ10M,B,415000,505000
NZ10N,B,415000,507000
