tenkm,easting,northing
IG02,-86232.50349,500092.5577
IG03,-85380.013,510080.1202
IG04,-84526.57756,520067.4994
IG05,-83672.1993,530054.6954
IG06,-82816.88037,540041.7085
IG07,-81960.62291,550028.5387
IG08,-81103.42906,560015.1862
IG09,-80245.30098,570001.6512
IG10,-77947.09524,479266.8551
IG11,-77096.68373,489253.8344
IG12,-76245.32283,499240.6322
IG13,-75393.01468,509227.2486
IG14,-74539.76141,519213.6838
IG15,-73685.56516,529199.938
IG16,-72830.42807,539186.0113
IG17,-71974.35228,549171.904
IG18,-71117.33995,559157.6161
IG19,-70259.3932,569143.1479
IG20,-67960.50094,478417.0099
IG21,-67110.26995,488403.0386
IG22,-66259.08942,498388.888
IG23,-65406.96147,508374.5581
IG24,-64553.88823,518360.0492
IG25,-63699.87185,528345.3614
IG26,-62844.91447,538330.4949
IG27,-61989.01821,548315.4498
IG28,-61132.18523,558300.2264
IG29,-60274.41767,568284.8248
IG30,-57974.85832,477567.3441
IG31,-57124.80573,487552.4222
IG32,-56273.80343,497537.323
IG33,-55421.85354,507522.0467
IG34,-54568.95821,517506.5935
IG35,-53715.11956,527490.9635
IG36,-52860.33973,537475.157
IG37,-52004.62087,547459.174
IG38,-51147.9651,557443.0149
IG39,-50290.37458,567426.6796
IG40,-47990.16754,476717.8558
IG41,-47140.29122,486701.983
IG42,-46289.46502,496685.935
IG43,-45437.69107,506669.7122
IG44,-44584.9715,516653.3145
IG45,-43731.30844,526636.7422
IG46,-42876.70403,536619.9955
IG47,-42021.16042,546603.0745
IG48,-41164.67972,556585.9794
IG49,-40307.2641,566568.7104
IG50,-38006.42877,475868.5428
IG51,-37156.72658,485851.7189
IG52,-36306.07436,495834.7221
IG53,-35454.47421,505817.5524
IG54,-34601.92827,515800.2101
IG55,-33748.43867,525782.6953
IG56,-32894.00755,535765.0082
IG57,-32038.63704,545747.149
IG58,-31182.32928,555729.1178
IG59,-30325.0864,565710.9149
IG60,-28023.64217,475019.4029
IG61,-27174.112,485001.6279
IG62,-26323.63161,494983.682
IG63,-25472.20314,504965.5654
IG64,-24619.8287,514947.2782
IG65,-23766.51043,524928.8208
IG66,-22912.25045,534910.1931
IG67,-22057.05091,544891.3955
IG68,-21200.91394,554872.428
IG69,-20343.84168,564853.2909
IG70,-18041.80791,474170.4341
IG71,-17192.44763,484151.7077
IG72,-16342.13696,494132.8125
IG73,-15490.87803,504113.7488
IG74,-14638.67296,514094.5167
IG75,-13785.52388,524075.1164
IG76,-12931.43292,534055.548
IG77,-12076.40222,544035.8118
IG78,-11220.4339,554015.9079
IG79,-10363.53011,563995.8365
IG80,-8060.92616,473321.6342
IG81,-7211.733647,483301.9562
IG82,-6361.590572,493282.1116
IG83,-5510.499058,503262.1006
IG84,-4658.46123,513241.9234
IG85,-3805.479214,523221.58
IG86,-2951.555139,533201.0707
IG87,-2096.691136,543180.3957
IG88,-1240.889338,553159.5552
IG89,-384.15188,563138.5493
IG90,1919.002904,472473.001
IG91,2768.029771,482452.3714
IG92,3618.007375,492431.5772
IG93,4468.933596,502410.6187
IG94,5320.806311,512389.4961
IG95,6173.623393,522368.2096
IG96,7027.382716,532346.7592
IG97,7882.082151,542325.1453
IG98,8737.719566,552303.3679
IG99,9594.292828,562281.4273
IH00,11897.97911,471624.5326
IH01,12746.84245,481602.951
IH02,13596.65671,491581.2071
IH03,14447.41976,501559.301
IH04,15299.12948,511537.2329
IH05,16151.78376,521515.0029
IH06,17005.38046,531492.6113
IH07,17859.91746,541470.0582
IH08,18715.39262,551447.3438
IH09,19571.80382,561424.4684
IH10,21876.00229,470776.2267
IH11,22724.70422,480753.6931
IH12,23574.35724,490730.9992
IH13,24424.95925,500708.1453
IH14,25276.50811,510685.1314
IH15,26129.0017,520661.9579
IH16,26982.43791,530638.6248
IH17,27836.8146,540615.1324
IH18,28692.12965,550591.4808
IH19,29548.38092,560567.6703
IH20,31853.07225,469928.0812
IH21,32701.61489,479904.5954
IH22,33551.1088,489880.9514
IH23,34401.55188,499857.1494
IH24,35252.942,509833.1897
IH25,36105.27704,519809.0724
IH26,36958.55487,529784.7977
IH27,37812.77338,539760.3657
IH28,38667.93044,549735.7768
IH29,39524.02392,559711.031
IH30,41829.18882,469080.0941
IH31,42677.57428,479055.6558
IH32,43526.9112,489031.0615
IH33,44377.19747,499006.3114
IH34,45228.43096,508981.4056
IH35,46080.60957,518956.3443
IH36,46933.73116,528931.1277
IH37,47787.79362,538905.7561
IH38,48642.79482,548880.2296
IH39,49498.73263,558854.5483
IH40,51804.35182,468232.2632
IH41,52652.58221,478206.8723
IH42,53501.76426,488181.3275
IH43,54351.89583,498155.6289
IH44,55202.97482,508129.7769
IH45,56054.99911,518103.7715
IH46,56907.96659,528077.6129
IH47,57761.87512,538051.3014
IH48,58616.72258,548024.8371
IH49,59472.50686,557998.2202
IH50,61778.56106,467384.5863
IH51,62626.6385,477358.2427
IH52,63475.66778,487331.7472
IH53,64325.64677,497305.1001
IH54,65176.57338,507278.3016
IH55,66028.44548,517251.3518
IH56,66881.26095,527224.251
IH57,67735.01768,537196.9994
IH58,68589.71353,547169.5971
IH59,69445.3464,557142.0444
IH60,71751.81635,466537.0615
IH61,72599.74295,476509.7648
IH62,73448.62157,486482.3185
IH63,74298.45011,496454.7226
IH64,75149.22645,506426.9775
IH65,76000.94847,516399.0832
IH66,76853.61406,526371.04
IH67,77707.2211,536342.8481
IH68,78561.76748,546314.5076
IH69,79417.25106,556286.0189
IH70,81724.11751,465689.6866
IH71,82571.89538,475661.4367
IH72,83420.62546,485633.0393
IH73,84270.30565,495604.4945
IH74,85120.93383,505575.8025
IH75,85972.50789,515546.9635
IH76,86825.02572,525517.9777
IH77,87678.4852,535488.8453
IH78,88532.88421,545459.5665
IH79,89388.22064,555430.1414
IH80,91695.46436,464842.4594
IH81,92543.09559,474813.2562
IH82,93391.67924,484783.9075
IH83,94241.21319,494754.4136
IH84,95091.69533,504724.7745
IH85,95943.12355,514694.9906
IH86,96795.49573,524665.062
IH87,97648.80977,534634.9889
IH88,98503.06354,544604.7715
IH89,99358.25493,554574.41
IH90,101665.8567,463995.3779
IH91,102513.3434,473965.2211
IH92,103361.7827,483934.921
IH93,104211.1725,493904.4777
IH94,105061.5107,503873.8914
IH95,105912.7952,513843.1624
IH96,106765.0239,523812.2908
IH97,107618.1946,533781.2768
IH98,108472.3053,543750.1206
IH99,109327.3537,553718.8225
IJ00,111635.2943,463148.44
IJ01,112482.6386,473117.3295
IJ02,113330.9357,483086.0777
IJ03,114180.1835,493054.6848
IJ04,115030.3799,503023.1511
IJ05,115881.5228,512991.4767
IJ06,116733.61,522959.6619
IJ07,117586.6395,532927.7068
IJ08,118440.6091,542895.6117
IJ09,119295.5168,552863.3767
IJ10,121603.777,462301.6435
IJ11,122450.981,472269.579
IJ12,123299.138,482237.3754
IJ13,124148.2459,492205.0328
IJ14,124998.3025,502172.5515
IJ15,125849.3059,512139.9316
IJ16,126701.2538,522107.1733
IJ17,127554.1442,532074.2769
IJ18,128407.975,542041.2426
IJ19,129262.744,552008.0705
IJ20,131571.3046,461454.9864
IJ21,132418.3704,471421.9678
IJ22,133266.3894,481388.8121
IJ23,134115.3594,491355.5196
IJ24,134965.2785,501322.0904
IJ25,135816.1445,511288.5247
IJ26,136667.9552,521254.8229
IJ27,137520.7086,531220.9849
IJ28,138374.4026,541187.0112
IJ29,139229.0351,551152.9019
IJ30,141537.8769,460608.4666
IJ31,142384.8066,470574.4936
IJ32,143232.6897,480540.3857
IJ33,144081.524,490506.143
IJ34,144931.3076,500471.7657
IJ35,145782.0383,510437.2542
IJ36,146633.7139,520402.6084
IJ37,147486.3325,530367.8288
IJ38,148339.8918,540332.9154
IJ39,149194.3898,550297.8686
IJ40,151503.4938,459762.0819
IJ41,152350.2894,469727.1544
IJ42,153198.0386,479692.094
IJ43,154046.7394,489656.9009
IJ44,154896.3896,499621.5754
IJ45,155746.987,509586.1177
IJ46,156598.5297,519550.5279
IJ47,157451.0155,529514.8064
IJ48,158304.4423,539478.9532
IJ49,159158.808,549442.9686
IJ50,161468.1549,458915.8303
IJ51,162314.8186,468879.948
IJ52,163162.4361,478843.935
IJ53,164011.0054,488807.7914
IJ54,164860.5242,498771.5174
IJ55,165710.9906,508735.1133
IJ56,166562.4024,518698.5793
IJ57,167414.7576,528661.9155
IJ58,168268.0539,538625.1223
IJ59,169122.2894,548588.1998
IJ62,173125.8818,477995.9065
IJ63,173974.3217,487958.8121
IJ64,174823.7114,497921.5895
IJ65,175674.0488,507884.2388
IJ66,176525.3318,517846.7603
IJ67,177377.5584,527809.1542
IJ68,178230.7264,537771.4207
IJ69,179084.8338,547733.5601
IJ76,186487.3177,516995.0689
IJ77,187339.4179,526956.5202
IL26,-171268.2502,446939.775
IL27,-170419.9313,456936.1067
IL28,-169570.6558,466932.2369
IL29,-168720.4259,476928.166
IL34,-162965.6556,426100.69
IL35,-162119.4569,436096.4627
IL36,-161272.2972,446092.0359
IL37,-160424.1787,456087.4098
IL38,-159575.1034,466082.5845
IL39,-158725.0736,476077.5601
IL42,-154659.3731,405264.8587
IL43,-153815.3016,415260.0643
IL44,-152970.2647,425255.0724
IL45,-152124.2645,435249.8829
IL46,-151277.3032,445244.4961
IL47,-150429.3828,455238.9121
IL48,-149580.5056,465233.1311
IL49,-148730.6737,475227.1531
IL50,-146349.3971,384432.3043
IL51,-145507.4596,394426.9347
IL52,-144664.5524,404421.3695
IL53,-143820.6775,414415.6086
IL54,-142975.8371,424409.6522
IL55,-142130.0332,434403.5005
IL56,-141283.2681,444397.1535
IL57,-140435.5438,454390.6115
IL58,-139586.8625,464383.8746
IL59,-138737.2264,474376.9429
IL60,-136355.1547,383590.9504
IL61,-135513.412,393584.6099
IL62,-134670.6994,403578.0758
IL63,-133827.019,413571.3483
IL64,-132982.3729,423564.4274
IL65,-132136.7632,433557.3132
IL66,-131290.1922,443550.006
IL67,-130442.6618,453542.5059
IL68,-129594.1743,463534.8129
IL69,-128744.7318,473526.9273
IL70,-126361.8843,382749.7902
IL71,-125520.3342,392742.4787
IL72,-124677.8141,402734.9757
IL73,-123834.3261,412727.2813
IL74,-122989.8722,422719.3957
IL75,-122144.4547,432711.319
IL76,-121298.0755,442703.0514
IL77,-120450.737,452694.593
IL78,-119602.4411,462685.9439
IL79,-118753.1901,472677.1043
IL80,-116369.5861,381908.8217
IL81,-115528.2266,391900.539
IL82,-114685.8968,401892.067
IL83,-113842.599,411883.4056
IL84,-112998.3352,421874.5552
IL85,-112153.1076,431865.5158
IL86,-111306.9183,441856.2876
IL87,-110459.7695,451846.8707
IL88,-109611.6631,461837.2653
IL89,-108762.6015,471827.4715
IL90,-106378.2602,381068.0427
IL91,-105537.0891,391058.7887
IL92,-104694.9476,401049.3475
IL93,-103851.8379,411039.7191
IL94,-103007.7621,421029.9037
IL95,-102162.7223,431019.9014
IL96,-101316.7207,441009.7125
IL97,-100469.7594,450999.337
IL98,-99621.84041,460988.7752
IL99,-98772.966,470978.027
IM00,-96387.90677,380227.4512
IM01,-95546.92191,390217.2257
IM02,-94704.96658,400206.8151
IM03,-93862.04288,410196.2194
IM04,-93018.15294,420185.4389
IM05,-92173.29888,430174.4737
IM06,-91327.48282,440163.3239
IM07,-90480.70687,450151.9897
IM08,-89632.97318,460140.4712
IM09,-88784.28387,470128.7686
IM10,-86398.52592,379387.0449
IM11,-85557.72523,389375.8478
