"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE"
82581,"Conirostrum cinereum fraseri","",110,"Subspecies",328980,"",""
82582,"Conirostrum cinereum littorale","",110,"Subspecies",328990,"",""
82583,"Conirostrum cinereum cinereum","",110,"Subspecies",329000,"",""
82584,"Conirostrum tamarugense","Tamarugo Conebill",100,"Species",329010,"",""
82585,"Conirostrum ferrugineiventre","White-browed Conebill",100,"Species",329020,"",""
82586,"Conirostrum rufum","Rufous-browed Conebill",100,"Species",329030,"",""
82587,"Conirostrum sitticolor","Blue-backed Conebill",100,"Species",329040,"",""
82588,"Conirostrum sitticolor pallidum","",110,"Subspecies",329050,"",""
82589,"Conirostrum sitticolor intermedium","",110,"Subspecies",329060,"",""
82590,"Conirostrum sitticolor sitticolor","",110,"Subspecies",329070,"",""
82591,"Conirostrum sitticolor cyaneum","",110,"Subspecies",329080,"",""
82592,"Conirostrum albifrons","Capped Conebill",100,"Species",329090,"",""
82593,"Conirostrum albifrons cyanonotum","",110,"Subspecies",329100,"",""
82594,"Conirostrum albifrons albifrons","",110,"Subspecies",329110,"",""
82595,"Conirostrum albifrons centralandium","",110,"Subspecies",329120,"",""
82596,"Conirostrum albifrons atrocyaneum","",110,"Subspecies",329130,"",""
82597,"Conirostrum albifrons sordidum","",110,"Subspecies",329140,"",""
82598,"Conirostrum albifrons lugens","",110,"Subspecies",329150,"",""
82599,"Oreomanes","",80,"Genus",329160,"",""
82600,"Oreomanes fraseri","Giant Conebill",100,"Species",329170,"",""
82601,"Diglossa","",80,"Genus",329180,"",""
82602,"Diglossa baritula","Cinnamon-bellied Flowerpiercer",100,"Species",329190,"",""
82603,"Diglossa baritula baritula","",110,"Subspecies",329200,"",""
82604,"Diglossa baritula montana","",110,"Subspecies",329210,"",""
82605,"Diglossa baritula parva","",110,"Subspecies",329220,"",""
82606,"Diglossa plumbea","Slaty Flowerpiercer",100,"Species",329230,"",""
82609,"Diglossa sittoides","Rusty Flowerpiercer",100,"Species",329240,"",""
82610,"Diglossa sittoides hyperythra","",110,"Subspecies",329250,"",""
82611,"Diglossa sittoides mandeli","",110,"Subspecies",329260,"",""
82612,"Diglossa sittoides coelestis","",110,"Subspecies",329270,"",""
82613,"Diglossa sittoides dorbignyi","",110,"Subspecies",329280,"",""
82614,"Diglossa sittoides decorata","",110,"Subspecies",329290,"",""
82615,"Diglossa sittoides sittoides","",110,"Subspecies",329300,"",""
82616,"Diglossa gloriosissima","Chestnut-bellied Flowerpiercer",100,"Species",329310,"",""
82617,"Diglossa gloriosissima gloriosissima","",110,"Subspecies",329320,"",""
82618,"Diglossa gloriosissima boylei","",110,"Subspecies",329330,"",""
82619,"Diglossa lafresnayii","Glossy Flowerpiercer",100,"Species",329340,"",""
82620,"Diglossa mystacalis","Moustached Flowerpiercer",100,"Species",329350,"",""
82621,"Diglossa mystacalis unicincta","",110,"Subspecies",329360,"",""
82622,"Diglossa mystacalis pectoralis","",110,"Subspecies",329370,"",""
82623,"Diglossa mystacalis albilinea","",110,"Subspecies",329380,"",""
82624,"Diglossa mystacalis mystacalis","",110,"Subspecies",329390,"",""
82625,"Diglossa gloriosa","Merida Flowerpiercer",100,"Species",329400,"",""
82626,"Diglossa humeralis","Black Flowerpiercer",100,"Species",329410,"",""
82627,"Diglossa humeralis nocticolor","",110,"Subspecies",329420,"",""
82628,"Diglossa humeralis humeralis","",110,"Subspecies",329430,"",""
82629,"Diglossa humeralis aterrima","",110,"Subspecies",329440,"",""
82630,"Diglossa brunneiventris","Black-throated Flowerpiercer",100,"Species",329450,"",""
82631,"Diglossa brunneiventris vuilleumieri","",110,"Subspecies",329460,"",""
82632,"Diglossa brunneiventris brunneiventris","",110,"Subspecies",329470,"",""
82633,"Diglossa carbonaria","Grey-bellied Flowerpiercer",100,"Species",329480,"",""
82634,"Diglossa venezuelensis","Venezuelan Flowerpiercer",100,"Species",329490,"",""
82635,"Diglossa albilatera","White-sided Flowerpiercer",100,"Species",329500,"",""
82636,"Diglossa albilatera federalis","",110,"Subspecies",329510,"",""
82637,"Diglossa albilatera albilatera","",110,"Subspecies",329520,"",""
82638,"Diglossa albilatera schistacea","",110,"Subspecies",329530,"",""
82639,"Diglossa albilatera affinis","",110,"Subspecies",329540,"",""
82640,"Diglossa duidae","Scaled Flowerpiercer",100,"Species",329550,"",""
82641,"Diglossa duidae hitchcocki","",110,"Subspecies",329560,"",""
82642,"Diglossa duidae duidae","",110,"Subspecies",329570,"",""
